Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 02/05  01:00:00,1.05819147856,7.9108811044,0.0,7.88276844095,0.0,0.192930674882,0.192930674882,0.192930674882,0.152146386518,0.0327763842622,0.0928550823819,0.408144195277,0.162694755241
 02/05  02:00:00,0.88656298483,8.54306078526,0.0,8.51717642739,0.0,0.208384031205,0.208384031205,0.208384031205,0.090160839344,0.0194230361695,0.0760998372053,0.37579329429,0.100057946615
 02/05  03:00:00,0.820464435498,8.67985277956,0.0,8.65426853019,0.0,0.211967945194,0.211967945194,0.211967945194,0.0619855790406,0.0133533395118,0.0622424290361,0.371436270588,0.0828348721264
 02/05  04:00:00,0.817234084285,8.92727934872,0.0,8.90205522955,0.0,0.217491195351,0.217491195351,0.217491195351,0.0619855790406,0.0133533395118,0.0538948626218,0.366207842146,0.0876572656133
 02/05  05:00:00,0.871671997116,9.16569760666,0.0,9.14142633197,0.0,0.223270638411,0.223270638411,0.223270638411,0.0619855790406,0.0133533395118,0.0657425557055,0.352374291893,0.138301592554
 02/05  06:00:00,1.15502642441,9.30798295229,0.0,9.28089816044,0.0,0.226454081569,0.226454081569,0.226454081569,0.0676206374745,0.0145672805595,0.0799978719753,0.393221389098,0.356521163736
 02/05  07:00:00,1.7813139067,10.1270961078,0.0,10.0958022943,0.0,0.246550434742,0.246550434742,0.246550434742,0.129606216515,0.0279206166389,0.14030009709,0.454328646517,0.765963895197
 02/05  08:00:00,2.17848356492,9.7764912794,0.0,9.74323925793,0.0,0.237757136872,0.237757136872,0.237757136872,0.25921243303,0.0558412332777,0.228479448591,0.482758226172,0.882791086977
 02/05  09:00:00,2.11653648416,10.3016161503,0.0,10.2735034869,0.0,0.250542217282,0.250542217282,0.250542217282,0.231037140861,0.049771545201,0.301038229845,0.408144195277,0.859359155692
 02/05  10:00:00,1.86483976457,8.96049904711,0.0,8.93657289719,0.0,0.217938193278,0.217938193278,0.217938193278,0.112701089013,0.0242788037928,0.37497357455,0.347363714635,0.770940389301
 02/05  11:00:00,1.78212493451,9.92643144269,0.0,9.90194258934,0.0,0.241480878933,0.241480878933,0.241480878933,0.090160839344,0.0194230361695,0.395705006816,0.355533134076,0.663178039174
 02/05  12:00:00,1.66815055318,8.52813801504,0.0,8.50364165897,0.0,0.207380202765,0.207380202765,0.207380202765,0.090160839344,0.0194230361695,0.413520643025,0.355642059669,0.565379772211
 02/05  13:00:00,1.5610982016,8.02718745282,0.0,8.00310374594,0.0,0.195173473218,0.195173473218,0.195173473218,0.090160839344,0.0194230361695,0.39956426318,0.349651152079,0.490481437606
 02/05  14:00:00,1.48742324108,7.98078906639,0.0,7.95587255843,0.0,0.19402163573,0.19402163573,0.19402163573,0.090160839344,0.0194230361695,0.361343598785,0.361741892852,0.444088238197
 02/05  15:00:00,1.44356610257,8.076106355,0.0,8.04978683981,0.0,0.196444411189,0.196444411189,0.196444411189,0.0957958818448,0.0206369737848,0.331676763602,0.382110978658,0.400257093486
 02/05  16:00:00,1.50067493718,8.17273043244,0.0,8.14494788833,0.0,0.198700385586,0.198700385586,0.198700385586,0.112701089013,0.0242788037928,0.339830371887,0.403351469205,0.405168817697
 02/05  17:00:00,1.77830841511,9.08329645515,0.0,9.05043457472,0.0,0.221204462204,0.221204462204,0.221204462204,0.174686636187,0.0376321347236,0.389541408607,0.47709409536,0.461505678024
 02/05  18:00:00,2.3294512171,11.0025735729,0.0,10.9626516401,0.0,0.268340509607,0.268340509607,0.268340509607,0.338103187372,0.0728363942165,0.48031520192,0.579593077948,0.573618846033
 02/05  19:00:00,2.76115398487,10.8214189198,0.0,10.7780757501,0.0,0.263054364037,0.263054364037,0.263054364037,0.580410413235,0.125035814648,0.432484217059,0.629263148149,0.684262027742
 02/05  20:00:00,2.87897920732,10.3627289275,0.0,10.3179902533,0.0,0.251627125962,0.251627125962,0.251627125962,0.74382696442,0.160240091303,0.349483984996,0.649523308363,0.70763373228
 02/05  21:00:00,2.74945540573,10.7248060841,0.0,10.6785293538,0.0,0.260419673293,0.260419673293,0.260419673293,0.693111422582,0.149314618441,0.310626769787,0.671853054836,0.647485866787
 02/05  22:00:00,2.5312518702,12.3026215108,0.0,12.2574251712,0.0,0.298924557185,0.298924557185,0.298924557185,0.574775370734,0.123821877033,0.293847511999,0.656167769509,0.567070783744
 02/05  23:00:00,2.10982237536,13.4337328339,0.0,13.394621194,0.0,0.326657609829,0.326657609829,0.326657609829,0.428264026716,0.0922594475479,0.234076814023,0.567829113952,0.444091363292
 02/05  24:00:00,1.65939576182,13.4725176184,0.0,13.4385303311,0.0,0.327728431733,0.327728431733,0.327728431733,0.298657810201,0.0643388309091,0.151364647498,0.493432934242,0.307229107232
 02/06  01:00:00,1.18723104416,13.9556672594,0.0,13.927554596,0.0,0.339654375379,0.339654375379,0.339654375379,0.152146386518,0.0327763842622,0.0862813993051,0.408144195277,0.151584303416
 02/06  02:00:00,1.02379346823,14.6009030113,0.0,14.5750186535,0.0,0.35544422553,0.35544422553,0.35544422553,0.090160839344,0.0194230361695,0.07215281313,0.37579329429,0.094175259764
 02/06  03:00:00,0.962006790383,14.8051643411,0.0,14.7795800918,0.0,0.360432910878,0.360432910878,0.360432910878,0.0619855790406,0.0133533395118,0.0596311906089,0.371436270588,0.0785234997557
 02/06  04:00:00,0.956525095353,14.9011406185,0.0,14.8759164993,0.0,0.362782288301,0.362782288301,0.362782288301,0.0619855790406,0.0133533395118,0.0525294584498,0.366207842146,0.0830225879033
 02/06  05:00:00,0.997204946539,14.8253253572,0.0,14.8010540825,0.0,0.360956601873,0.360956601873,0.360956601873,0.0619855790406,0.0133533395118,0.06307140009,0.352374291893,0.128819734131
 02/06  06:00:00,1.25757438124,14.8059625909,0.0,14.778877799,0.0,0.360415783909,0.360415783909,0.360415783909,0.0676206374745,0.0145672805595,0.0759011793751,0.393221389098,0.329204110821
 02/06  07:00:00,1.82837014063,15.0746832911,0.0,15.0433894776,0.0,0.366866489116,0.366866489116,0.366866489116,0.129606216515,0.0279206166389,0.129674584873,0.454328646517,0.703329586973
